Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000pF/250V,C_0805_2012Metric,135.912,-108.2222,90,bottom
C10,100nF,C_0805_2012Metric,183.2068,-82.4666,270,bottom
C11,100nF,C_0805_2012Metric,183.0036,-86.9116,270,bottom
C12,10nF,C_0805_2012Metric,141.4492,-77.1834,180,bottom
C13,10nF,C_0805_2012Metric,127.53,-102.6596,180,bottom
C14,10nF,C_0805_2012Metric,116.354,-118.372,-90,top
C15,1uF,C_0805_2012Metric,127.2506,-98.1638,90,top
C16,1uF,C_0805_2012Metric,111.3248,-94.9482,270,bottom
C17,1uF,C_0805_2012Metric,126.2194,-111.4734,0,top
C18,10nF,C_0805_2012Metric,134.9976,-120.6276,-90,top
C19,10nF,C_0805_2012Metric,136.801,-117.0004,-90,top
C2,1000pF/250V,C_0805_2012Metric,141.5,-107.3078,90,bottom
C20,10nF,C_0805_2012Metric,132.229,-73.5918,90,top
C21,10nF,C_0805_2012Metric,136.928,-77.5542,90,top
C22,10nF,C_0805_2012Metric,183.4608,-120.5006,-90,top
C23,10nF,C_0805_2012Metric,185.5944,-116.8938,-90,top
C24,10nF,C_0805_2012Metric,141.9826,-120.6276,-90,top
C25,10nF,C_0805_2012Metric,143.7606,-116.97,-90,top
C26,10nF,C_0805_2012Metric,139.2902,-73.5918,90,top
C27,10nF,C_0805_2012Metric,143.913,-77.5288,90,top
C28,10nF,C_0805_2012Metric,148.5866,-120.6022,-90,top
C29,10nF,C_0805_2012Metric,150.771,-116.9446,-90,top
C3,1000pF/250V,C_0805_2012Metric,133.245,-108.2222,90,bottom
C30,10nF,C_0805_2012Metric,146.326,-73.541,90,top
C31,10nF,C_0805_2012Metric,150.898,-77.5034,90,top
C32,10nF,C_0805_2012Metric,155.597,-120.5514,-90,top
C33,10nF,C_0805_2012Metric,157.7814,-116.9192,-90,top
C34,10nF,C_0805_2012Metric,153.2856,-73.5156,90,top
C35,10nF,C_0805_2012Metric,157.8322,-77.478,90,top
C36,10nF,C_0805_2012Metric,162.6328,-120.5514,-90,top
C37,10nF,C_0805_2012Metric,164.7918,-116.8938,-90,top
C38,10nF,C_0805_2012Metric,160.2706,-73.5004,90,top
C39,10nF,C_0805_2012Metric,164.868,-77.4526,90,top
C4,100nF,C_0805_2012Metric,124.609,-101.0746,270,bottom
C40,10nF,C_0805_2012Metric,169.5924,-120.526,-90,top
C41,10nF,C_0805_2012Metric,171.726,-116.8684,-90,top
C42,10nF,C_0805_2012Metric,167.154,-73.4648,90,top
C43,10nF,C_0805_2012Metric,171.8022,-77.412,90,top
C44,10nF,C_0805_2012Metric,176.5012,-120.4752,-90,top
C45,10nF,C_0805_2012Metric,178.6348,-116.8684,-90,top
C46,10nF,C_0805_2012Metric,174.4184,-73.4648,90,top
C47,10nF,C_0805_2012Metric,178.965,-77.478,90,top
C48,10nF,C_0805_2012Metric,100.6314,-72.3066,90,bottom
C49,10nF,C_0805_2012Metric,182.6886,-95.7762,0,bottom
C5,100nF,C_0805_2012Metric,111.6448,-87.7631,90,bottom
